BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	10366	10366	10366	10366
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	10.366000	10.366000	10.366000	10.366000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	16.334102	7.242887	217.278230	0.084283
0.001000	16.143367	7.662503	217.127016	0.084173
0.002000	16.257808	7.548063	214.745921	0.084513
0.003000	16.562984	7.776944	215.221614	0.084344
0.004000	16.372249	7.776944	213.319186	0.085171
0.005000	16.524837	7.929532	213.795531	0.084838
0.006000	16.524837	8.082120	213.164998	0.084658
0.007000	16.486690	8.120267	212.057445	0.083459
0.008000	16.601130	8.387296	211.733964	0.083483
0.009000	16.601130	8.692472	211.740865	0.083175
0.010000	16.639277	8.501737	211.102779	0.083287
0.011000	16.982600	8.463590	209.833823	0.083366
0.012000	16.562984	8.463590	207.936316	0.083989
0.013000	16.791865	8.501737	209.045172	0.084170
0.014000	16.601130	8.730619	208.572762	0.083279
0.015000	16.448543	8.959501	207.936316	0.083623
0.016000	16.639277	8.845060	206.670985	0.083465
0.017000	16.791865	9.150235	207.143368	0.082225
0.018000	16.753718	8.806913	206.193307	0.083391
0.019000	16.944453	8.806913	205.718274	0.082846
0.020000	16.944453	8.959501	204.926337	0.083259
0.021000	16.753718	8.845060	204.450305	0.083640
0.022000	16.753718	8.921354	204.135051	0.083312
0.023000	17.287776	8.730619	202.864792	0.083342
0.024000	17.097041	8.845060	201.435734	0.083352
0.025000	16.982600	8.768766	201.910775	0.083682
0.026000	17.135188	8.845060	202.068897	0.083284
0.027000	17.135188	8.883207	200.323933	0.084157
0.028000	17.211482	8.883207	200.327199	0.082275
0.029000	17.287776	8.959501	198.902774	0.083516
0.030000	17.364070	9.035795	198.426069	0.082433
0.031000	17.135188	9.112089	197.631838	0.083360
0.032000	17.287776	8.959501	196.209714	0.083306
0.033000	17.440364	9.188383	197.161413	0.082237
0.034000	17.249629	9.112089	196.048931	0.082102
0.035000	17.402217	9.226530	195.573239	0.082174
0.036000	17.402217	9.150236	194.144855	0.082710
0.037000	17.211482	9.150236	193.349638	0.083675
0.038000	17.287776	8.997648	192.558336	0.082640
0.039000	17.287776	9.035795	192.715470	0.082288
0.040000	17.364070	9.150236	193.666518	0.081651
0.041000	17.211482	9.035795	192.560295	0.081370
0.042000	17.249629	8.997648	192.087237	0.081199
0.043000	17.364070	9.035795	192.396251	0.081593
0.044000	17.287776	9.150236	192.075400	0.081394
0.045000	17.020747	8.997648	190.336015	0.082066
0.046000	17.058894	8.845060	190.172970	0.081419
0.047000	16.982600	8.730619	190.023055	0.080601
0.048000	17.097041	8.539884	190.652913	0.080624
0.049000	16.868159	8.616178	189.860305	0.080082
0.050000	17.058894	8.578031	188.270195	0.081193
0.051000	16.944453	8.616178	188.271842	0.081639
0.052000	16.715571	8.730619	187.321105	0.080817
0.053000	16.486690	8.578031	187.003853	0.080183
0.054000	16.334102	8.616178	186.367746	0.080520
0.055000	16.410396	8.578031	187.164944	0.079736
0.056000	16.524837	8.654325	187.161324	0.080007
0.057000	16.334102	8.997648	186.687275	0.079480
0.058000	16.410396	8.921354	186.526520	0.079453
0.059000	16.410396	8.730619	185.417999	0.079133
0.060000	16.181514	8.845060	185.256916	0.079887
0.061000	16.257808	8.806913	185.574142	0.079062
0.062000	16.334102	8.501737	185.098449	0.079365
0.063000	16.257808	8.616178	184.458385	0.079340
0.064000	16.181514	8.501737	184.148056	0.078919
0.065000	16.257808	8.654325	183.348881	0.079272
0.066000	16.143367	8.387296	185.093506	0.077535
0.067000	16.257808	8.272855	181.762040	0.079556
0.068000	16.334102	8.272855	183.668408	0.078186
0.069000	16.295955	8.311002	183.500417	0.077889
0.070000	16.257808	8.043973	183.666432	0.077355
0.071000	16.410396	7.853238	182.394529	0.078603
0.072000	16.410396	7.738797	181.125257	0.077810
0.073000	16.486690	8.005826	182.077290	0.077588
0.074000	16.219661	7.586210	179.540710	0.078346
0.075000	16.295955	7.471769	179.854977	0.077804
0.076000	16.601130	7.395475	180.324754	0.078171
0.077000	16.486690	7.166593	180.323451	0.077050
0.078000	16.791865	7.128446	179.055478	0.077541
0.079000	16.906306	6.937711	179.373363	0.076912
0.080000	16.982600	6.899564	179.369744	0.076964
0.081000	16.830012	6.937711	179.050873	0.076244
0.082000	16.944453	6.632535	176.992277	0.076533
0.083000	17.211482	6.594388	177.621819	0.076488
0.084000	17.402217	6.479947	177.621819	0.075970
0.085000	17.364070	6.327359	176.670769	0.077088
0.086000	17.478511	6.251065	176.989311	0.075524
