BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	8212	8212	8212	8212
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	8.212000	8.212000	8.212000	8.212000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	4.053896	-3.114616	219.453423	0.095644
0.001000	3.710573	-3.190910	220.883788	0.096350
0.002000	3.863161	-3.419792	225.470087	0.094893
0.003000	3.557985	-3.457939	227.841980	0.096237
0.004000	3.825014	-3.534233	230.526517	0.096721
0.005000	3.672426	-3.610527	233.860322	0.097632
0.006000	3.825014	-3.572380	235.590529	0.098512
0.007000	3.939455	-4.144585	241.448388	0.097648
0.008000	3.863161	-3.801262	243.345272	0.098953
0.009000	3.748720	-4.182732	246.820098	0.099201
0.010000	3.710573	-4.373466	250.143377	0.099779
0.011000	3.786867	-4.487907	255.210963	0.099528
0.012000	3.748720	-4.793083	258.379416	0.100410
0.013000	3.786867	-4.983818	262.170495	0.100138
0.014000	3.825014	-4.907524	264.219928	0.102278
0.015000	3.596132	-5.403435	269.129061	0.102350
0.016000	3.901308	-4.983818	274.038501	0.101689
0.017000	3.748720	-5.174553	277.667555	0.102506
0.018000	3.901308	-5.327141	282.260105	0.102925
0.019000	3.863161	-5.670463	285.899294	0.102970
0.020000	3.710573	-5.823051	290.163442	0.103347
0.021000	3.939455	-5.899345	295.067339	0.103880
0.022000	4.015749	-6.013786	299.666813	0.104445
0.023000	3.901308	-5.899345	305.675251	0.104229
0.024000	4.015749	-6.166374	309.623477	0.104781
0.025000	4.015749	-6.395256	315.173663	0.104574
0.026000	4.015749	-6.433403	316.905846	0.106179
0.027000	4.282778	-6.318962	321.807114	0.106343
0.028000	4.053896	-6.738578	327.024932	0.106465
0.029000	4.397218	-6.814872	331.458387	0.106861
0.030000	4.473512	-6.624137	337.948789	0.106905
0.031000	4.473512	-6.814872	341.425263	0.106867
0.032000	4.320924	-6.967460	347.126687	0.107278
0.033000	4.549806	-6.700431	352.025639	0.108023
0.034000	4.664247	-7.196342	356.459415	0.108284
0.035000	5.122011	-6.967460	362.948160	0.108122
0.036000	5.198305	-7.005607	367.692295	0.108849
0.037000	5.732363	-7.005607	371.647105	0.109108
0.038000	5.846803	-7.081901	378.923859	0.108678
0.039000	6.037538	-7.120048	383.676846	0.108926
0.040000	6.342714	-6.738578	387.307171	0.109613
0.041000	6.419008	-6.547844	394.918566	0.108819
0.042000	6.380861	-6.547844	399.344149	0.109693
0.043000	6.838625	-6.509697	404.247376	0.109974
0.044000	7.105654	-6.509697	409.306775	0.110492
0.045000	7.143800	-5.975639	414.850054	0.110333
0.046000	6.876772	-5.746757	420.544544	0.110513
0.047000	6.914919	-5.174553	424.668657	0.110103
0.048000	6.991213	-5.021965	429.253970	0.110494
0.049000	7.334535	-5.670463	435.582979	0.110034
0.050000	7.258241	-4.907524	441.600631	0.110316
0.051000	7.220094	-4.335319	445.874308	0.110407
0.052000	7.334535	-4.526054	450.937967	0.110609
0.053000	6.914919	-4.678642	456.958580	0.110256
0.054000	6.838625	-4.449760	462.176391	0.110002
0.055000	6.342714	-3.953849	466.134475	0.110224
0.056000	6.571596	-3.572380	471.200085	0.109490
0.057000	6.380861	-3.572380	476.261131	0.109811
0.058000	6.113832	-3.076469	480.534487	0.110375
0.059000	5.541628	-3.457939	485.279895	0.109904
0.060000	5.579775	-4.068290	490.345511	0.109489
0.061000	5.808656	-3.534233	493.983726	0.109434
0.062000	5.808656	-3.877556	499.370836	0.108970
0.063000	5.389040	-3.724968	503.480498	0.108742
0.064000	5.007570	-3.877556	508.225575	0.108968
0.065000	4.931276	-3.381645	512.022556	0.108703
0.066000	4.511659	-3.229057	516.134838	0.109156
0.067000	4.320925	-3.610527	521.676467	0.109065
0.068000	4.282778	-4.068290	525.312416	0.108795
0.069000	3.672426	-3.724968	529.114302	0.108681
0.070000	2.947633	-4.030143	533.860699	0.107959
0.071000	2.833192	-4.411613	538.767517	0.107688
0.072000	2.909486	-4.335319	543.037254	0.107926
0.073000	3.176515	-3.915703	548.104189	0.107552
0.074000	3.329103	-4.182731	551.741087	0.107679
0.075000	2.718752	-3.991996	556.646975	0.108083
0.076000	2.337282	-3.877556	560.289759	0.107952
0.077000	2.260988	-4.793083	563.926043	0.108096
0.078000	2.566164	-4.526054	570.091923	0.107226
0.079000	2.566164	-4.983818	575.003984	0.106976
0.080000	1.688783	-5.441581	578.642883	0.106673
0.081000	0.963991	-4.831230	581.968454	0.107388
0.082000	1.078432	-4.945671	585.606031	0.107586
0.083000	0.963991	-4.602348	590.197918	0.107550
