BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	465	465	465	465
Contact period end (sample #):	9072	9072	9072	9072
Contact period start time (s):	0.465000	0.465000	0.465000	0.465000
Contact period end time (s):	9.072000	9.072000	9.072000	9.072000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	15.256390	1.161203	75.994326	0.043795
0.001000	15.447124	1.046763	77.892802	0.041150
0.002000	15.370831	1.275644	76.942407	0.041708
0.003000	15.370831	1.275644	78.054545	0.040294
0.004000	15.332684	1.428232	77.583126	0.040254
0.005000	15.294537	1.390085	76.632414	0.041778
0.006000	15.294537	1.390085	78.687704	0.041537
0.007000	15.523418	1.580820	78.531879	0.041202
0.008000	15.523418	1.733408	78.688359	0.041917
0.009000	15.256390	1.695261	76.945058	0.043233
0.010000	15.370831	1.924143	78.849448	0.042626
0.011000	15.676006	1.962290	78.375755	0.044375
0.012000	15.790447	2.191172	78.369167	0.041919
0.013000	15.714153	2.229319	78.693959	0.042700
0.014000	15.828594	2.305613	78.849113	0.042388
0.015000	15.866741	2.381907	80.115436	0.042192
0.016000	15.828594	2.610788	80.271601	0.042883
0.017000	15.866741	2.534494	79.165041	0.042700
0.018000	15.828594	2.381907	78.848143	0.042859
0.019000	15.943035	2.648935	80.268316	0.042358
0.020000	15.904888	2.648935	79.164725	0.043656
0.021000	15.943035	2.534494	78.999362	0.043591
0.022000	16.019329	2.458201	80.273243	0.042748
0.023000	16.019329	2.839670	79.002645	0.043511
0.024000	16.095623	2.648935	79.477348	0.042962
0.025000	16.057476	2.915964	80.430396	0.043870
0.026000	16.095623	2.534494	81.224627	0.042674
0.027000	16.210064	2.801523	79.641407	0.043931
0.028000	16.362652	2.572641	81.065831	0.041413
0.029000	16.057476	2.610788	79.958302	0.042877
0.030000	16.133770	2.763376	79.958641	0.043305
0.031000	16.171917	2.496347	79.323836	0.043648
0.032000	16.400799	2.610788	81.702276	0.040540
0.033000	16.324505	2.153025	79.164073	0.044404
0.034000	16.210064	2.420054	79.478022	0.044346
0.035000	16.286358	2.191172	79.482612	0.042752
0.036000	16.171917	1.847849	79.320551	0.043177
0.037000	15.981182	1.924143	80.745631	0.041359
0.038000	16.210064	2.000437	80.747293	0.042635
0.039000	15.981182	1.885996	77.740615	0.045638
0.040000	16.248211	1.962290	78.053261	0.044824
0.041000	16.362652	1.695261	79.325815	0.043466
0.042000	16.171917	1.542673	78.688064	0.043968
0.043000	16.324505	1.504526	80.275201	0.040576
0.044000	16.019329	1.351938	79.327118	0.041157
0.045000	16.286358	1.161204	79.478339	0.043809
0.046000	16.248211	1.008616	79.004287	0.040796
0.047000	16.133770	1.046763	78.369503	0.043195
0.048000	16.324505	0.932322	78.211699	0.044975
0.049000	16.171917	0.894175	79.165061	0.042931
0.050000	16.095623	0.741587	79.005278	0.041363
0.051000	15.981182	0.550852	78.845850	0.043262
0.052000	16.019329	0.474558	79.000982	0.042033
0.053000	16.057476	0.321970	78.685726	0.040097
0.054000	15.790447	0.512705	77.895454	0.044930
0.055000	15.943035	0.093088	79.473412	0.042546
0.056000	16.057476	0.436411	79.161440	0.044077
0.057000	15.904888	0.016794	78.531226	0.041960
0.058000	15.637859	-0.097647	78.047976	0.040702
0.059000	15.752300	-0.021353	76.468377	0.041901
0.060000	15.752300	0.054941	77.418100	0.040931
0.061000	15.790447	-0.212088	77.728764	0.041846
0.062000	15.828594	-0.364675	77.728113	0.041301
0.063000	15.714153	-0.555410	76.464420	0.041494
0.064000	15.485271	-0.440969	77.734027	0.041941
0.065000	15.637859	-0.707998	77.097580	0.041713
0.066000	15.561565	-0.212088	77.258334	0.040875
0.067000	15.523418	-0.479116	76.462461	0.043694
0.068000	15.637859	-0.593557	76.146533	0.043283
0.069000	15.599712	-0.746145	76.309244	0.041360
0.070000	15.561565	-0.479116	75.359186	0.041349
0.071000	15.523418	-0.631704	76.940427	0.040594
0.072000	15.332684	-0.746145	75.203696	0.043365
0.073000	15.561565	-0.517263	76.942407	0.041563
0.074000	15.676006	-0.669851	75.194812	0.042794
0.075000	15.408978	-0.326528	75.831593	0.043062
0.076000	15.676006	-0.669851	75.511729	0.042055
0.077000	15.447124	-0.517263	76.145207	0.042929
0.078000	15.408978	-0.555410	75.351292	0.041046
0.079000	15.599712	-0.669851	74.561986	0.042107
0.080000	15.561565	-0.707998	75.358534	0.041870
0.081000	15.294537	-0.631704	74.406494	0.043134
0.082000	15.561565	-0.517263	74.089241	0.040516
0.083000	15.599712	-0.555410	73.611591	0.042653
0.084000	15.294537	-0.440969	75.355565	0.041588
0.085000	15.218243	-0.440969	73.932107	0.041593
