BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	1499	1499	1499
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	14.990000	14.990000	14.990000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:27:38
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	46.016687	-0.689659	101.732075
0.010000	45.855730	-0.447074	101.573627
0.020000	45.453335	-0.407968	101.415995
0.030000	45.493828	-0.528465	100.468082
0.040000	45.414028	-0.610811	99.360407
0.050000	45.374044	-0.731308	100.626694
0.060000	45.293903	-1.013000	100.310614
0.070000	45.857597	-1.013954	99.678780
0.080000	45.455032	-0.893774	99.044979
0.090000	45.656656	-0.733217	99.045305
0.100000	45.736965	-0.774867	97.939270
0.110000	45.938417	-0.775185	97.938614
0.120000	45.656824	-0.855622	97.939596
0.130000	45.415728	-0.695701	97.781479
0.140000	45.415895	-0.937332	98.729389
0.150000	45.416576	-1.057194	96.201728
0.160000	45.376251	-1.419640	97.149645
0.170000	45.376930	-1.501032	95.726869
0.180000	45.175308	-1.903856	95.568747
0.190000	45.256126	-1.821511	95.252995
0.200000	45.256296	-2.145487	94.937078
0.210000	45.377270	-1.782723	94.462548
0.220000	45.376930	-1.822783	94.463039
0.230000	45.095507	-1.783677	94.937407
0.240000	45.015198	-1.340792	93.356674
0.250000	45.216480	-1.260355	95.412426
0.260000	45.015028	-1.139539	95.727852
0.270000	45.135662	-1.301051	95.884991
0.280000	45.216822	-1.140811	94.936749
0.290000	45.417595	-1.060056	95.886629
0.300000	45.176325	-0.939240	95.411608
0.310000	45.176157	-0.819061	96.201891
0.320000	44.653128	-0.699199	96.201729
0.330000	44.411860	-0.457886	95.729164
0.340000	44.250221	-0.337389	94.779116
0.350000	44.009295	-0.337389	95.096184
0.360000	43.687716	-0.458522	95.728836
0.370000	43.727360	-0.378403	95.727852
0.380000	43.687037	-0.137408	96.519117
0.390000	44.009123	-0.017228	97.466869
0.400000	43.848675	0.103905	97.308092
0.410000	43.808689	-0.219117	96.675930
0.420000	43.728041	0.182753	96.993486
0.430000	44.009804	0.182117	98.731354
0.440000	43.888830	0.302933	97.940252
0.450000	43.648241	0.382098	96.517973
0.460000	43.165026	0.059711	97.624664
0.470000	42.360575	0.139195	98.256990
0.480000	41.878208	0.258420	99.364172
0.490000	41.194389	0.056531	100.787109
0.500000	40.470417	0.497507	101.577887
0.510000	40.028374	0.616415	104.580242
0.520000	39.224941	1.255782	106.635502
0.530000	38.300024	1.816302	110.428959
0.540000	36.972372	2.336125	115.802004
0.550000	36.249077	3.178018	120.541903
0.560000	35.364994	4.260587	126.707035
0.570000	34.199659	5.341249	136.503407
0.580000	32.913349	6.264215	143.930731
0.590000	31.384926	7.829728	151.833076
0.600000	29.454104	9.474407	161.473621
0.610000	27.202724	10.797972	171.430082
0.620000	24.708716	12.042689	182.178465
0.630000	21.692530	13.404088	194.505779
0.640000	18.555199	14.806181	206.833746
0.650000	15.176431	16.207003	221.849304
0.660000	12.201077	17.407208	235.601841
0.670000	9.506127	18.368962	246.191284
0.680000	6.971457	18.970495	256.150372
0.690000	4.921020	19.370776	263.578999
0.700000	4.034730	19.813024	269.269928
0.710000	4.356816	19.937019	273.695873
0.720000	3.994236	19.737039	277.804920
0.730000	3.349383	19.738946	282.073742
0.740000	1.660678	19.096400	285.235207
