BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	917	917	917	917
Contact period end (sample #):	8784	8784	8784	8784
Contact period start time (s):	0.917000	0.917000	0.917000	0.917000
Contact period end time (s):	8.784000	8.784000	8.784000	8.784000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	39.220127	1.819059	80.767783	0.076466
0.001000	39.410862	1.704618	80.138579	0.077896
0.002000	39.334568	1.552030	80.448590	0.076173
0.003000	39.181980	1.704618	80.289796	0.075178
0.004000	39.258274	1.819059	79.337444	0.077613
0.005000	39.258274	1.933500	79.494577	0.077232
0.006000	39.181980	1.628324	78.861753	0.081047
0.007000	39.181980	1.590177	79.972901	0.076486
0.008000	39.296421	1.475736	79.817387	0.075793
0.009000	39.143833	1.666471	78.865349	0.077376
0.010000	39.105686	1.704618	80.289146	0.078315
0.011000	39.105686	1.933500	79.183259	0.077029
0.012000	39.029392	1.857206	79.498196	0.077823
0.013000	39.181980	1.933500	78.543866	0.079266
0.014000	39.258274	1.399442	79.342370	0.077016
0.015000	39.334568	1.513883	80.767468	0.075335
0.016000	39.334568	1.742765	78.865350	0.076209
0.017000	39.372715	1.628324	79.023810	0.076274
0.018000	39.334568	1.666471	79.815747	0.075795
0.019000	39.258274	1.628324	78.546475	0.077644
0.020000	39.334568	1.628324	80.133992	0.078500
0.021000	39.639744	1.933500	79.176354	0.078382
0.022000	39.334568	1.628324	78.231871	0.078930
0.023000	39.296421	1.933500	79.175366	0.077045
0.024000	39.258274	1.780912	78.704280	0.078257
0.025000	39.258274	1.590177	78.069142	0.077366
0.026000	39.410862	1.552030	78.547147	0.078545
0.027000	39.372715	1.742765	78.389342	0.079019
0.028000	39.258274	1.780912	79.814103	0.075864
0.029000	39.487156	1.628324	78.228274	0.078846
0.030000	39.754185	1.666471	79.178332	0.079309
0.031000	39.525303	1.666471	79.817725	0.076145
0.032000	39.563450	1.513883	78.225643	0.079905
0.033000	39.449009	1.552030	77.915628	0.077560
0.034000	39.639744	1.704618	79.815769	0.079180
0.035000	39.716038	1.590177	78.708872	0.075829
0.036000	39.677891	1.666471	78.545486	0.076881
0.037000	39.563450	1.552030	78.545824	0.077977
0.038000	39.677891	1.742765	79.496217	0.076951
0.039000	39.716038	1.590177	79.182251	0.077258
0.040000	39.944920	1.437589	77.750919	0.078878
0.041000	39.563450	1.628324	77.596753	0.079975
0.042000	39.830479	1.513883	79.500826	0.076754
0.043000	39.563450	1.323148	77.909379	0.079203
0.044000	39.487156	1.437589	79.338413	0.076457
0.045000	39.716038	1.437589	76.330429	0.080157
0.046000	39.792332	1.590177	77.280172	0.079093
0.047000	39.716038	1.475736	78.552391	0.075682
0.048000	39.677891	1.513883	77.432379	0.080444
0.049000	39.563450	1.590177	78.066509	0.076686
0.050000	39.944920	1.628324	77.598394	0.078640
0.051000	39.754185	1.742765	78.228924	0.079746
0.052000	39.830479	1.552030	78.076046	0.076889
0.053000	39.792332	1.513883	78.861413	0.077010
0.054000	39.868626	1.590177	78.546813	0.077763
0.055000	39.677891	1.704618	76.008585	0.078990
0.056000	39.677891	1.628324	78.860425	0.076056
0.057000	39.792332	1.780912	78.546814	0.076231
0.058000	39.754185	1.437589	78.388691	0.077714
0.059000	40.021214	1.475736	76.958981	0.080462
0.060000	39.792332	1.437589	78.864699	0.075918
0.061000	39.830479	1.666471	78.546158	0.077784
0.062000	39.716038	1.590177	78.230882	0.078187
0.063000	39.792332	1.475736	77.431076	0.081438
0.064000	39.944920	1.666471	78.542199	0.075699
0.065000	39.830479	1.742765	77.915945	0.077359
0.066000	39.830479	1.552030	77.754519	0.075746
0.067000	39.754185	1.361295	76.322874	0.081336
0.068000	39.754185	1.437589	77.915294	0.077398
0.069000	39.868626	1.590177	76.959971	0.079456
0.070000	39.677891	1.590177	78.864698	0.077041
0.071000	39.868626	1.628324	77.432379	0.079788
0.072000	39.792332	1.628324	78.070131	0.077009
0.073000	39.868626	1.628324	77.905755	0.080145
0.074000	39.677891	1.590177	78.231538	0.077155
0.075000	39.830479	1.513883	78.228590	0.078662
0.076000	39.868626	1.704618	77.273268	0.080237
0.077000	39.868626	1.666471	78.700999	0.078445
0.078000	39.716038	1.437589	78.071118	0.080217
0.079000	39.868626	1.780912	77.596733	0.078244
0.080000	39.639744	1.666471	77.117104	0.078665
0.081000	39.906773	1.780912	78.382437	0.079855
0.082000	39.830479	1.475736	78.387364	0.077193
0.083000	39.868626	1.628324	79.494239	0.076358
0.084000	39.944920	1.780912	77.598059	0.080280
0.085000	39.639744	1.666471	78.705586	0.077499
0.086000	39.868626	1.704618	78.222338	0.079278
