BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	1499	1499	1499
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	14.990000	14.990000	14.990000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:37:32
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	49.698519	2.362936	133.629221
0.010000	49.457420	2.001762	132.997060
0.020000	49.496895	1.880628	132.524167
0.030000	49.296463	1.678739	133.155671
0.040000	49.497576	1.758223	134.102604
0.050000	49.175320	1.679057	133.470932
0.060000	49.216494	1.556969	133.943827
0.070000	48.974546	1.597983	135.841625
0.080000	49.497746	1.355716	135.051831
0.090000	48.974546	1.557605	136.000565
0.100000	49.015209	1.758858	134.733131
0.110000	49.296972	1.919416	136.315336
0.120000	49.377451	1.638997	135.524559
0.130000	49.457592	1.758858	135.682684
0.140000	49.618719	1.839932	136.314189
0.150000	49.537901	2.080927	134.890759
0.160000	49.135674	1.879992	135.523906
0.170000	49.256819	2.443374	134.733785
0.180000	48.733446	2.402360	134.575826
0.190000	48.774111	2.402678	134.891254
0.200000	49.055365	2.283453	135.049376
0.210000	49.055365	2.363890	136.312227
0.220000	48.894917	2.605203	136.154267
0.230000	48.814266	2.484069	138.840047
0.240000	48.009985	2.765124	139.470082
0.250000	47.486444	2.523812	142.000198
0.260000	47.326164	2.603295	144.052186
0.270000	47.285671	2.684687	147.684245
0.280000	47.164698	2.763852	150.212727
0.290000	47.125051	2.763852	153.530020
0.300000	47.365810	2.964470	154.950833
0.310000	47.446119	2.481844	155.898090
0.320000	47.486784	2.561645	156.688530
0.330000	47.325996	2.282180	156.531390
0.340000	47.204342	2.243075	156.530245
0.350000	46.882425	2.283135	156.531887
0.360000	46.842102	2.282816	155.900215
0.370000	46.318733	2.282180	155.901204
0.380000	45.715223	2.361982	156.217449
0.390000	45.393475	2.161047	155.584135
0.400000	45.393305	1.718481	156.374911
0.410000	45.594419	1.637725	158.745766
0.420000	46.036631	1.959476	158.900930
0.430000	46.640139	2.202061	159.690890
0.440000	46.841593	2.282498	160.323051
0.450000	46.438856	2.363890	160.322397
0.460000	46.117449	2.403314	161.744682
0.470000	45.393137	2.040867	163.010152
0.480000	44.749472	2.041185	162.063215
0.490000	44.991249	2.081563	161.903621
0.500000	45.392965	2.282816	160.953578
0.510000	45.674898	2.242121	164.114876
0.520000	45.393305	2.523175	166.957641
0.530000	45.151699	2.241485	166.958295
0.540000	44.749641	2.242439	169.327181
0.550000	44.346737	2.121305	171.221862
0.560000	43.541265	1.961066	174.223565
0.570000	42.415405	2.162955	178.647220
0.580000	41.409500	2.161683	187.810446
0.590000	40.564894	2.483116	193.021768
0.600000	39.318060	2.522221	202.816176
0.610000	38.957176	2.762898	214.033684
0.620000	38.272509	2.684687	220.508344
0.630000	38.152216	2.525401	232.830251
0.640000	37.065321	2.686913	242.623350
0.650000	36.381842	2.085061	253.523462
0.660000	35.818657	2.849060	266.161122
0.670000	35.416941	2.768623	276.271447
0.680000	35.658546	2.930770	286.065527
0.690000	35.337309	3.292581	296.175688
0.700000	34.855284	4.015566	308.023563
0.710000	34.172654	4.777656	317.660172
0.720000	33.932574	5.661199	327.926494
0.730000	33.007827	5.940981	338.984899
0.740000	31.560219	6.021101	353.044672
0.750000	30.716292	6.221082	366.313852
0.760000	30.314065	6.101539	380.530587
