BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	918	918	918
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	9.180000	9.180000	9.180000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:30:49
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	48.426249	3.030463	68.840196
0.010000	48.225138	3.070204	69.631462
0.020000	47.782587	3.351577	71.054890
0.030000	48.023344	3.391637	72.161419
0.040000	47.701767	3.069251	71.370807
0.050000	47.662291	2.787241	72.794726
0.060000	47.743111	2.705532	72.794070
0.070000	47.541826	2.904877	72.952192
0.080000	47.542168	2.824757	75.006963
0.090000	47.702955	2.825711	73.743460
0.100000	47.863914	2.462947	73.584846
0.110000	48.025721	2.663882	73.584354
0.120000	47.985228	2.662610	73.584026
0.130000	47.783773	3.025374	74.058722
0.140000	47.623325	3.145872	73.584848
0.150000	47.622816	3.104858	72.320195
0.160000	47.663651	2.985950	70.580852
0.170000	47.944735	3.066070	69.473666
0.180000	47.944735	3.186568	70.738482
0.190000	47.662632	3.066070	69.316037
0.200000	47.260576	3.025374	68.842651
0.210000	47.341053	2.865453	69.950164
0.220000	47.219740	2.905831	69.001431
0.230000	47.461178	2.664836	68.052204
0.240000	47.662632	2.503643	68.211473
0.250000	47.743280	2.706168	68.208361
0.260000	47.622137	2.666108	70.265425
0.270000	47.823420	2.786606	70.107467
0.280000	47.862896	3.108038	69.317511
0.290000	47.984209	3.149052	71.529092
0.300000	48.265291	3.270186	70.264935
0.310000	48.063499	3.391637	71.687543
0.320000	47.702106	3.592890	71.530238
0.330000	47.460499	3.351895	70.581836
0.340000	47.540640	3.392909	71.847303
0.350000	47.782755	3.794462	71.214651
0.360000	47.701088	3.875217	70.582000
0.370000	47.661781	3.755038	72.163220
0.380000	47.701427	4.076152	70.423059
0.390000	47.983191	4.235756	71.055055
0.400000	48.426590	4.196014	70.265918
0.410000	48.305616	4.036411	69.473996
0.420000	49.070253	4.156272	69.158407
0.430000	49.311352	4.437009	69.158405
0.440000	49.593454	4.155954	66.944366
0.450000	49.633778	4.113986	67.102980
0.460000	49.875385	4.395359	66.313025
0.470000	49.996019	3.912733	64.889432
0.480000	50.479403	4.434783	64.416049
0.490000	50.277950	4.234484	62.518419
0.500000	50.398924	4.113668	62.993113
0.510000	50.600037	3.631042	61.253931
0.520000	50.317936	3.671738	59.989279
0.530000	50.318445	3.511181	59.355970
0.540000	50.237965	3.390365	57.775895
0.550000	50.238136	3.390683	58.092304
0.560000	50.157488	3.228218	56.827982
0.570000	49.875895	2.947799	57.144389
0.580000	49.312880	2.946209	58.883407
0.590000	48.749525	3.147462	59.989935
0.600000	48.467422	2.825711	60.148222
0.610000	48.105352	3.104858	62.520875
0.620000	48.065367	2.905831	65.049028
0.630000	47.461687	3.148098	67.104782
0.640000	46.496107	3.147462	70.108613
0.650000	45.288410	3.188794	74.377425
0.660000	44.563929	2.947481	78.015057
0.670000	44.523603	2.746864	80.070154
0.680000	44.845179	2.547519	83.074314
0.690000	44.844669	2.547201	85.445328
0.700000	45.166588	2.750680	87.816345
0.710000	45.487995	2.751316	90.029892
0.720000	45.689787	2.790104	90.820179
0.730000	45.810591	2.910601	92.085155
0.740000	45.328394	2.868951	94.140251
0.750000	44.081053	2.949707	95.089968
0.760000	42.712736	3.151278	94.301327
