BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	1499	1499	1499
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	14.990000	14.990000	14.990000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:33:32
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
1.380000	-17.362681	11.173938	629.583740
1.390000	-15.752248	11.335767	629.112000
1.400000	-14.061336	11.696305	629.746445
1.410000	-11.969216	11.456265	626.269241
1.420000	-11.808936	11.376145	621.055138
1.430000	-12.372290	11.617776	617.739159
1.440000	-13.135910	11.616186	611.261871
1.450000	-13.698925	11.492826	607.312096
1.460000	-14.421200	11.892153	605.575691
1.470000	-14.823596	12.131240	605.893730
1.480000	-14.823596	12.774741	606.368919
1.490000	-14.260242	13.256731	607.474464
1.500000	-14.060147	13.901505	610.477325
1.510000	-13.014087	13.903413	611.108650
1.520000	-12.169990	13.583252	610.475998
1.530000	-12.451751	14.187330	610.160255
1.540000	-13.376668	14.186693	611.425400
1.550000	-13.940362	14.949420	612.373642
1.560000	-14.061505	15.633617	611.900253
1.570000	-13.658939	15.672722	611.901741
1.580000	-13.055261	15.992883	614.587830
1.590000	-14.182140	15.550953	615.062355
1.600000	-15.147551	14.828605	619.331017
1.610000	-15.831879	15.069600	623.123329
1.620000	-15.952172	15.310594	626.915970
1.630000	-15.228878	16.197316	629.760704
1.640000	-15.067920	16.035805	636.556343
1.650000	-15.107565	16.520339	642.401962
1.660000	-15.590441	16.600141	646.353233
1.670000	-16.435388	16.357556	650.304459
1.680000	-17.400968	16.074274	654.888374
1.690000	-18.246084	15.874611	658.524864
1.700000	-19.412438	15.752842	662.476440
1.710000	-20.538639	15.429501	671.645088
1.720000	-22.108237	15.268943	678.442047
1.730000	-23.476045	15.271490	689.348236
1.740000	-25.528519	14.471246	702.786644
1.750000	-28.385447	13.832834	717.016518
1.760000	-32.691507	14.920809	736.775230
1.770000	-36.835763	15.645385	759.540237
1.780000	-41.906292	15.568763	788.151192
1.790000	-46.494795	15.570353	818.975372
1.800000	-51.243917	15.692759	854.697716
1.810000	-57.118050	16.694890	891.843185
1.820000	-65.488735	17.979985	930.573166
1.830000	-72.652065	18.261995	970.725403
1.840000	-79.453999	19.468558	1009.610229
1.850000	-81.828560	19.067325	1051.024185
1.860000	-89.636398	17.902410	1084.538574
1.870000	-93.822338	18.869252	1117.255463
1.880000	-101.429577	21.683933	1147.610504
1.890000	-102.797554	22.168467	1169.897232
1.900000	-107.185791	21.287470	1195.981384
1.910000	-111.452377	22.372900	1215.268997
1.920000	-116.241825	22.734076	1232.031311
1.930000	-122.558846	22.410099	1247.213455
1.940000	-127.307632	22.408510	1260.972733
1.950000	-131.934757	23.090480	1271.729660
1.960000	-133.867283	22.407237	1283.432327
1.970000	-134.752384	22.770319	1294.027344
1.980000	-136.765549	22.811651	1305.255493
1.990000	-139.462368	22.732168	1314.112762
2.000000	-143.043434	22.091846	1322.814590
2.010000	-144.935966	22.336022	1326.771881
2.020000	-145.538971	23.061551	1330.411835
2.030000	-145.942726	23.066321	1338.001190
2.040000	-145.260269	22.385304	1346.378418
2.050000	-145.944077	22.666042	1355.230011
2.060000	-147.714455	22.182144	1365.030457
2.070000	-147.673111	21.858803	1372.617706
2.080000	-148.276115	22.420594	1376.571411
2.090000	-148.718498	22.741710	1383.369843
2.100000	-148.837936	24.189904	1391.274841
2.110000	-152.661636	24.512291	1402.183105
2.120000	-157.932602	26.157925	1412.777832
2.130000	-158.896141	25.433349	1425.266083
2.140000	-159.378166	26.520370	1436.174164
2.150000	-159.377831	26.961347	1443.920990
2.160000	-159.538956	26.317846	1445.191559
2.170000	-161.993996	26.317210	1451.201019
2.180000	-164.127800	26.158243	1460.211700
2.190000	-164.651680	25.599313	1471.749237
2.200000	-166.180954	24.231555	1482.813202
2.210000	-167.065720	22.867613	1491.980865
2.220000	-166.663994	22.708327	1496.092834
2.230000	-167.228378	24.115192	1499.889130
2.240000	-169.039749	24.998734	1507.321198
2.250000	-170.007370	25.561797	1513.961029
2.260000	-172.501884	25.761142	1521.864502
2.270000	-174.995552	24.795572	1527.873474
2.280000	-174.873901	25.760189	1532.616791
2.290000	-174.230743	25.358637	1534.830841
2.300000	-176.807602	25.604402	1535.310791
2.310000	-176.445198	27.416634	1542.107422
2.320000	-176.888931	27.539358	1548.429688
2.330000	-179.100327	25.889273	1558.386688
2.340000	-180.628242	23.999465	1567.236725
2.350000	-181.352386	23.117194	1574.192139
2.360000	-182.640900	24.765371	1581.150208
2.370000	-183.688324	25.126864	1583.049316
2.380000	-183.930779	24.967896	1588.742035
2.390000	-186.063225	24.484634	1594.274017
2.400000	-186.585060	23.399521	1605.022247
2.410000	-187.067764	21.995519	1609.765442
2.420000	-188.596870	22.117606	1609.295807
2.430000	-190.568527	23.323853	1610.246979
2.440000	-191.211853	25.172330	1617.203705
2.450000	-192.298409	25.735712	1623.210571
2.460000	-192.983078	26.782039	1629.217407
2.470000	-194.791733	24.449027	1634.751709
2.480000	-195.394737	22.882878	1634.755096
2.490000	-196.078217	22.765242	1634.601563
2.500000	-197.165955	24.294513	1634.607361
2.510000	-199.299927	26.627840	1636.351440
2.520000	-201.432884	27.874466	1637.777496
2.530000	-203.002815	27.112693	1640.624695
2.540000	-203.001801	25.183143	1643.628510
2.550000	-202.317139	22.851087	1644.420929
2.560000	-202.839828	22.124921	1644.583130
2.570000	-203.041107	21.921760	1644.110413
2.580000	-203.002487	23.448485	1639.212372
2.590000	-205.014122	25.054695	1634.319092
2.600000	-206.824989	25.979887	1631.635925
2.610000	-207.267876	27.312038	1633.374817
2.620000	-205.216766	27.636651	1636.532959
2.630000	-203.645805	27.438260	1641.113281
2.640000	-202.842712	27.562256	1646.011475
2.650000	-202.601273	26.880285	1647.119293
2.660000	-203.727814	25.835231	1646.174011
2.670000	-204.934494	24.468744	1642.386444
2.680000	-206.582703	23.462796	1640.811279
2.690000	-207.749222	23.464705	1638.444214
2.700000	-207.669258	24.269717	1637.813019
2.710000	-207.105736	24.713555	1643.027802
2.720000	-206.221817	25.236877	1646.029175
2.730000	-206.501884	24.391487	1649.980896
2.740000	-207.226196	24.511985	1655.671021
2.750000	-207.789040	23.829695	1661.045685
2.760000	-207.547943	23.229433	1666.105286
2.770000	-208.152641	23.473927	1668.952148
2.780000	-208.475235	23.717149	1667.849060
2.790000	-210.406906	24.604506	1664.850128
2.800000	-212.338409	24.766654	1663.588409
2.810000	-212.781639	26.455527	1665.644836
2.820000	-212.056313	26.495587	1664.537476
2.830000	-211.854515	26.496860	1663.591370
2.840000	-212.337898	26.981075	1661.381744
2.850000	-213.504593	26.617039	1660.119904
2.860000	-214.711273	26.373499	1660.278534
2.870000	-214.912727	25.646380	1663.121429
2.880000	-214.309380	24.799717	1667.229004
2.890000	-213.544411	24.158760	1666.437256
2.900000	-213.383453	24.480829	1665.171753
2.910000	-213.747047	24.161941	1661.695404
2.920000	-214.310913	23.321638	1662.327545
2.930000	-213.627609	22.961100	1664.852570
2.940000	-212.863136	22.921041	1669.434509
2.950000	-212.179657	24.166075	1671.170593
2.960000	-210.932144	25.049299	1673.857391
2.970000	-209.845253	25.651469	1671.644470
2.980000	-211.455345	26.978849	1670.541046
2.990000	-212.259628	26.576660	1670.227600
3.000000	-213.707573	26.456800	1669.436523
3.010000	-213.950027	27.342250	1675.123505
3.020000	-212.742165	26.983620	1678.123230
3.030000	-211.494484	26.865665	1681.913574
3.040000	-210.528557	26.469203	1682.545258
3.050000	-210.488579	26.835465	1684.442871
3.060000	-210.891144	27.963500	1686.497925
3.070000	-212.661339	27.482782	1687.606812
3.080000	-213.787544	26.355064	1691.716644
3.090000	-213.907669	26.515941	1694.403076
3.100000	-213.826172	26.513714	1698.039429
3.110000	-213.745186	26.594152	1696.775757
3.120000	-214.348183	25.990710	1697.094757
3.130000	-214.792259	25.110349	1700.890533
3.140000	-215.275978	24.751081	1705.159851
3.150000	-215.799522	24.069428	1710.057556
3.160000	-216.524345	24.190562	1715.907745
3.170000	-217.007729	24.713566	1719.228149
3.180000	-217.650719	24.511360	1717.335114
3.190000	-219.138817	25.514445	1716.391754
3.200000	-220.186409	26.239656	1715.130890
3.210000	-221.192650	25.998660	1716.397644
3.220000	-221.433235	25.478519	1719.718536
3.230000	-221.955925	25.560546	1723.196106
3.240000	-222.318001	25.680090	1725.726227
3.250000	-222.115356	26.445044	1725.887756
3.260000	-221.712288	27.649700	1724.152710
3.270000	-222.920151	27.812166	1720.994507
3.280000	-223.844894	26.569993	1719.259796
3.290000	-224.004837	25.285853	1720.524902
3.300000	-227.022720	23.314651	1723.057343
3.310000	-226.337547	23.796324	1722.900513
3.320000	-223.321190	23.076201	1719.584198
3.330000	-224.366402	22.066437	1716.111542
3.340000	-226.940033	22.827893	1713.431519
3.350000	-227.021027	23.672646	1711.061981
3.360000	-227.825134	24.357799	1709.955780
3.370000	-226.458015	23.954973	1708.218384
3.380000	-224.847404	23.713024	1707.111237
3.390000	-224.405022	23.672965	1704.582397
3.400000	-225.451424	23.711434	1706.164124
3.410000	-227.342606	23.951158	1708.378326
3.420000	-228.388832	24.476069	1711.537506
3.430000	-227.785492	25.481699	1715.488770
3.440000	-226.014946	26.043808	1715.487122
3.450000	-225.693199	25.640985	1712.325775
3.460000	-225.732674	26.040628	1710.904358
3.470000	-228.106903	26.882839	1709.641174
3.480000	-230.239174	26.402440	1707.114014
3.490000	-230.482307	27.007472	1707.586578
3.500000	-229.435745	26.967093	1711.694305
3.510000	-227.101334	26.607828	1713.432373
3.520000	-226.618454	26.605283	1715.168701
3.530000	-227.302788	26.644389	1717.855286
3.540000	-228.348846	25.879435	1720.226166
3.550000	-228.951683	24.993349	1718.804565
3.560000	-229.514862	25.275039	1717.067841
3.570000	-228.630608	25.917588	1713.591461
3.580000	-228.470497	25.717606	1711.695801
3.590000	-228.711601	26.036813	1713.432678
3.600000	-229.114166	27.242106	1714.538574
3.610000	-228.309204	27.925031	1718.174713
3.620000	-227.303810	27.925668	1717.066345
3.630000	-226.821266	28.329762	1716.593140
3.640000	-226.701149	28.249962	1713.905212
3.650000	-227.868179	27.646839	1715.012909
3.660000	-227.465614	25.713790	1715.170074
3.670000	-226.538826	25.029910	1715.485352
3.680000	-226.336868	25.029593	1715.801239
3.690000	-226.577965	25.753531	1714.696686
3.700000	-227.382927	26.116614	1714.540192
3.710000	-229.033852	26.640890	1713.276672
3.720000	-231.125809	27.164531	1714.862183
3.730000	-230.964340	26.923218	1719.125763
3.740000	-228.709732	26.441545	1724.496613
3.750000	-227.380722	26.201503	1725.284760
3.760000	-227.622665	27.408386	1727.815369
3.770000	-228.709732	28.534833	1726.711304
3.780000	-230.360489	29.219666	1726.872589
3.790000	-231.366737	29.500403	1727.980408
3.800000	-231.648323	28.978353	1729.879028
3.810000	-231.848251	27.451309	1730.355530
3.820000	-231.686272	26.326136	1730.516083
3.830000	-232.813156	25.963688	1727.515564
3.840000	-234.100479	26.365241	1727.516205
3.850000	-234.664169	27.168665	1728.624207
3.860000	-234.463402	27.248785	1728.784149
3.870000	-233.537804	26.245062	1732.732422
3.880000	-232.651688	24.838198	1734.154053
3.890000	-231.566322	25.161856	1736.367249
3.900000	-232.331123	24.600064	1734.470947
3.910000	-232.734711	25.206369	1730.996399
3.920000	-233.540520	25.447999	1726.888947
3.930000	-233.943588	25.044857	1725.310669
3.940000	-234.264496	25.525893	1725.943970
3.950000	-233.659622	25.682317	1724.520721
3.960000	-232.853477	27.166757	1724.360626
3.970000	-232.250473	28.373957	1725.151398
3.980000	-231.285744	28.698253	1721.990753
3.990000	-232.131538	28.659147	1716.146118
4.000000	-233.981880	28.015326	1713.147247
4.010000	-235.752426	27.173116	1712.360870
4.020000	-235.189247	26.287984	1707.462830
4.030000	-234.987617	24.964420	1705.883728
4.040000	-234.665024	24.722471	1703.829620
4.050000	-233.619980	25.446728	1699.720886
4.060000	-233.459190	25.610783	1695.928925
4.070000	-234.585732	24.805135	1694.507477
4.080000	-234.585220	24.846466	1692.612305
4.090000	-234.545914	25.008614	1690.084625
4.100000	-233.983414	24.806406	1686.609192
4.110000	-233.780945	24.242706	1684.714691
4.120000	-234.022034	25.888340	1680.921875
4.130000	-234.947800	25.486152	1680.762115
4.140000	-233.941559	24.564139	1681.866211
4.150000	-232.854828	25.168218	1681.706451
4.160000	-232.453117	25.610147	1681.233887
4.170000	-231.769295	26.211363	1679.811737
4.180000	-231.970070	25.767842	1679.495026
4.190000	-232.251495	25.244520	1682.813477
4.200000	-232.853981	24.921816	1686.131104
4.210000	-232.613228	24.121574	1689.922943
4.220000	-232.895836	24.484656	1689.605865
4.230000	-232.976662	25.249290	1691.819580
4.240000	-233.178108	25.890247	1689.768219
4.250000	-233.499519	26.370965	1687.079987
4.260000	-233.095932	25.966870	1689.134460
4.270000	-233.779922	25.285534	1692.926239
4.280000	-233.941223	24.162269	1691.503296
4.290000	-233.539673	23.922546	1692.293091
4.300000	-233.660645	24.445549	1688.817871
4.310000	-234.144707	25.210503	1685.500702
4.320000	-234.787018	26.052395	1679.336731
4.330000	-233.982567	26.253330	1677.280334
4.340000	-233.057137	26.254921	1676.486755
4.350000	-231.770149	26.097225	1676.481537
4.360000	-230.522804	25.257241	1678.373413
4.370000	-229.074516	24.656025	1677.423065
4.380000	-229.315956	23.329916	1677.423859
4.390000	-230.241379	23.169360	1675.528839
4.400000	-231.165115	22.001264	1674.423798
4.410000	-231.406044	22.244802	1672.845032
4.420000	-231.285912	21.924961	1673.160126
4.430000	-230.803551	22.168181	1673.790802
4.440000	-230.120071	22.450828	1670.788971
4.450000	-230.682739	22.047685	1670.789459
4.460000	-230.562279	22.447329	1670.160400
4.470000	-230.721710	21.880130	1669.843842
4.480000	-230.681549	23.364252	1668.580200
4.490000	-230.843193	23.482523	1670.475677
4.500000	-229.436928	24.688771	1672.687225
4.510000	-228.672806	25.453088	1675.057465
4.520000	-228.551994	25.974503	1673.319275
4.530000	-228.833763	25.691540	1669.684235
4.540000	-229.919128	25.529073	1670.635254
4.550000	-230.885216	25.928401	1670.003418
4.560000	-231.608849	26.011064	1670.798615
4.570000	-231.488556	26.776016	1672.062927
4.580000	-231.206963	26.254603	1673.010834
4.590000	-230.321861	26.254603	1678.065704
4.600000	-229.999100	25.129110	1675.854095
4.610000	-230.321182	25.491558	1673.958099
4.620000	-230.563126	24.125071	1670.957367
4.630000	-230.522636	24.605788	1667.957001
4.640000	-230.964676	25.168535	1664.164673
4.650000	-231.850288	24.164814	1663.061096
4.660000	-231.971092	24.526942	1664.640198
4.670000	-231.448906	24.368928	1667.800690
4.680000	-230.644287	23.810318	1667.326996
4.690000	-230.243759	23.532124	1665.114746
4.700000	-230.486046	23.497788	1655.792267
4.710000	-232.338081	22.537625	1644.416077
4.720000	-233.586273	21.421674	1633.513214
4.730000	-233.264366	21.151749	1622.448883
4.740000	-230.449966	21.566658	1613.435150
4.750000	-228.236191	20.892957	1602.842438
4.760000	-226.425156	20.700291	1586.248230
4.770000	-226.867874	18.577436	1564.755615
4.780000	-229.724129	14.766028	1541.369751
4.790000	-232.703049	9.992230	1524.933502
4.800000	-232.584282	5.898495	1519.714294
4.810000	-230.250549	5.858116	1523.024414
4.820000	-226.950569	10.231000	1528.387634
4.830000	-225.381813	13.325146	1531.543701
4.840000	-226.550209	14.849647	1535.337189
4.850000	-227.676407	16.173211	1537.075653
4.860000	-228.318878	16.693035	1542.134125
4.870000	-229.566559	16.211045	1543.082855
4.880000	-230.129234	15.285852	1541.659729
4.890000	-231.055679	16.448860	1541.189148
4.900000	-232.142578	17.972724	1541.032318
4.910000	-233.469887	17.769243	1540.242371
4.920000	-233.308929	16.120111	1544.982117
4.930000	-233.791122	14.551100	1553.515961
4.940000	-233.065796	12.821532	1562.522736
4.950000	-231.497040	13.702211	1569.949860
4.960000	-230.652946	13.779469	1575.953094
4.970000	-230.893539	14.058298	1582.117279
