BioWare Version 5.4.9.0 Export
Device:	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)	ISO Leg Press (NEW) 9281CA (SN<616902)
Samples (#):	1500	1500	1500
Rate (Hz):	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0
Contact period end (sample #):	1109	1109	1109
Contact period start time (s):	0.000000	0.000000	0.000000
Contact period end time (s):	11.090000	11.090000	11.090000
First sample time (s):	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000
File Information
Date	Oct 13, 2024  11:21:23
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz
	N	N	N
0.000000	19.503760	-1.914494	172.596897
0.010000	19.262662	-2.719825	171.491514
0.020000	19.262832	-2.880064	174.179106
0.030000	19.302477	-3.403068	173.388659
0.040000	19.142028	-3.522929	172.915442
0.050000	19.383805	-3.281298	172.125158
0.060000	19.624734	-3.523248	171.808582
0.070000	19.906156	-3.281934	169.912752
0.080000	19.664718	-3.080681	171.018959
0.090000	19.744858	-2.998971	170.859846
0.100000	19.865832	-2.756704	170.227362
0.110000	19.705552	-2.397120	168.647121
0.120000	19.866002	-1.994614	170.702051
0.130000	19.905986	-1.833420	169.121817
0.140000	19.463096	-1.954236	171.018301
0.150000	19.221828	-1.632485	171.175112
0.160000	18.858737	-1.712287	175.757547
0.170000	17.852154	-2.032130	181.761442
0.180000	16.362355	-2.392668	191.715443
0.190000	15.636514	-2.631755	203.248711
0.200000	13.984907	-3.032671	216.363190
0.210000	13.178587	-3.273348	229.950739
0.220000	12.976116	-4.357507	241.799585
0.230000	12.452576	-4.720272	254.124929
0.240000	11.366192	-4.561305	263.764328
0.250000	9.395046	-5.086217	270.085781
0.260000	7.985896	-5.126913	279.409748
0.270000	7.099605	-5.249000	288.261810
0.280000	5.528987	-5.891548	295.847755
0.290000	3.919573	-6.616123	304.381615
0.300000	2.671551	-7.419546	309.756123
0.310000	2.389789	-8.224877	317.342384
0.320000	2.550407	-8.587005	320.502872
0.330000	1.744936	-8.990465	324.770042
0.340000	1.180054	-9.471819	330.301212
0.350000	1.097877	-10.434845	332.986176
0.360000	0.775281	-11.158466	340.572777
0.370000	0.774941	-11.841073	346.418541
0.380000	1.297122	-12.845113	350.367500
0.390000	1.618360	-13.083882	357.319164
0.400000	1.899613	-13.563964	361.267464
0.410000	1.818285	-13.604342	368.535023
0.420000	1.738315	-13.321697	372.642937
0.430000	1.496368	-13.965516	377.066257
0.440000	1.093972	-14.729833	384.019554
0.450000	1.295424	-15.211505	389.390625
0.460000	1.576677	-15.655344	395.393864
0.470000	2.139863	-15.895384	402.976524
0.480000	2.219832	-16.014610	408.662041
0.490000	2.339956	-16.376738	417.984890
0.500000	1.573791	-16.979226	424.937183
0.510000	0.687671	-17.743225	433.311115
0.520000	0.565679	-18.950109	440.420891
0.530000	0.605664	-19.795499	450.219551
0.540000	0.482823	-20.117249	455.116264
0.550000	0.120921	-20.641207	460.647430
0.560000	0.362359	-20.963912	465.863022
0.570000	0.441649	-21.244649	472.024532
0.580000	1.165623	-21.367055	475.182568
0.590000	0.723242	-21.729819	480.239513
0.600000	0.441480	-21.934570	485.612900
0.610000	-0.161690	-21.974630	490.354282
0.620000	-0.806033	-22.257276	495.095654
0.630000	-1.168613	-22.218805	499.361343
0.640000	-1.611673	-22.782824	504.417980
0.650000	-2.054903	-22.904276	509.316177
0.660000	-2.416975	-22.985349	515.795902
0.670000	-2.054903	-23.149086	518.798592
0.680000	-2.054225	-23.150994	523.380875
0.690000	-2.779555	-22.910954	529.069981
0.700000	-3.060809	-22.951331	535.391277
0.710000	-3.141797	-22.952603	539.499996
