BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	7741	7741	7741	7741
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	7.741000	7.741000	7.741000	7.741000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.113000	39.408224	4.231195	172.873217	0.107530
0.114000	39.293783	4.193048	171.925119	0.107430
0.115000	39.522665	4.612665	172.405419	0.107870
0.116000	39.598959	4.307489	173.517872	0.106482
0.117000	39.255636	4.345636	173.037910	0.106066
0.118000	39.408224	4.536371	172.882738	0.105985
0.119000	39.255636	4.536371	173.199312	0.106073
0.120000	39.255636	4.269342	171.929060	0.106669
0.121000	39.179342	4.574518	173.835428	0.105184
0.122000	39.255636	4.650812	172.725606	0.105987
0.123000	39.255636	4.460077	173.514566	0.106144
0.124000	39.293783	4.765253	173.986329	0.105227
0.125000	39.293783	4.650812	173.515895	0.105363
0.126000	39.370077	4.727106	173.838394	0.105830
0.127000	39.255636	4.650812	173.357419	0.104648
0.128000	39.331930	4.460077	171.140404	0.107011
0.129000	39.293783	4.688959	174.627695	0.104766
0.130000	39.179342	4.383783	172.733809	0.105197
0.131000	39.141195	4.574518	173.041190	0.106326
0.132000	39.293783	4.421930	173.041849	0.106033
0.133000	39.217489	4.650812	172.566471	0.105268
0.134000	39.370077	4.650812	172.884380	0.105239
0.135000	39.064901	4.612665	171.932335	0.105453
0.136000	39.026754	4.536371	172.887009	0.105561
0.137000	39.026754	4.612665	174.159223	0.103993
0.138000	38.950460	4.383783	172.409669	0.105284
0.139000	38.912313	4.612665	172.408993	0.104831
0.140000	38.836020	4.421930	172.410972	0.104824
0.141000	39.255636	4.345636	172.410979	0.105198
0.142000	38.874166	4.383783	172.568105	0.104359
0.143000	38.988607	4.650812	173.836732	0.103763
0.144000	38.912313	4.460077	173.359084	0.104950
0.145000	39.217489	4.383783	174.148705	0.104039
0.146000	38.912313	4.345636	172.724255	0.104654
0.147000	39.064901	4.154901	172.726227	0.103836
0.148000	38.988607	4.116754	172.719664	0.105146
0.149000	38.988607	4.231195	172.568443	0.104557
0.150000	38.797872	4.154901	171.771246	0.105289
0.151000	38.950460	4.154901	173.678579	0.102537
0.152000	38.721579	4.269342	171.929031	0.104608
0.153000	38.950460	4.231195	172.091422	0.104784
0.154000	38.530843	4.345636	172.727530	0.103501
0.155000	38.759725	4.078607	172.569746	0.104378
0.156000	38.530843	4.154901	172.416191	0.102934
0.157000	38.683432	4.193048	173.044434	0.102777
0.158000	38.759726	4.078607	173.204536	0.102018
0.159000	38.683431	4.345636	172.566779	0.103698
0.160000	38.645285	4.116754	171.938567	0.104539
0.161000	38.530843	4.078607	172.409965	0.104210
0.162000	38.874166	4.116754	172.405353	0.102670
0.163000	38.912313	4.383783	172.407989	0.103133
0.164000	38.683432	4.002313	169.872414	0.105050
0.165000	39.026754	4.269342	170.194255	0.105196
0.166000	39.064901	4.193048	172.567751	0.103107
0.167000	38.797873	4.231195	170.508208	0.104832
0.168000	39.103048	4.193048	171.615400	0.103691
0.169000	38.683432	4.231195	170.982574	0.104456
0.170000	38.988607	4.307489	171.139706	0.104160
0.171000	38.912313	4.269342	172.413900	0.102338
0.172000	39.103048	4.040460	171.936904	0.103452
0.173000	38.797873	4.307489	172.094036	0.103590
0.174000	38.836020	4.193048	171.937241	0.103516
0.175000	38.988607	4.269342	170.040387	0.104160
0.176000	38.759726	4.040460	170.509511	0.104593
