BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	9164	9164	9164	9164
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	9.164000	9.164000	9.164000	9.164000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.108000	27.454065	-0.993261	104.862395	0.089011
0.109000	27.415918	-0.878820	105.813107	0.087002
0.110000	27.721094	-0.878820	106.128359	0.085383
0.111000	27.606653	-0.764379	105.973518	0.085013
0.112000	27.415918	-0.802526	105.338741	0.087623
0.113000	27.606653	-0.840673	105.022473	0.086605
0.114000	27.682947	-1.031408	105.813758	0.086486
0.115000	27.644800	-0.993261	105.018872	0.090161
0.116000	27.644800	-0.878820	104.553034	0.088056
0.117000	27.454065	-0.993261	104.706883	0.087363
0.118000	27.759241	-0.955114	104.864353	0.087674
0.119000	27.606653	-1.031408	105.182576	0.087088
0.120000	27.606653	-0.993261	104.706903	0.088509
0.121000	27.682947	-0.916967	104.709533	0.088496
0.122000	27.606653	-0.993261	104.708210	0.088514
0.123000	27.759241	-0.688085	105.338739	0.089055
0.124000	27.568506	-0.955114	104.230873	0.088326
0.125000	27.835535	-0.840673	105.018199	0.086052
0.126000	27.759241	-0.916967	104.387353	0.088679
0.127000	27.835535	-0.840673	103.915279	0.088490
0.128000	27.797388	-0.649938	103.597056	0.089179
0.129000	27.721094	-0.916967	104.548110	0.087978
0.130000	27.911829	-0.535497	104.229545	0.087734
0.131000	27.873682	-0.611791	103.912964	0.087224
0.132000	27.911829	-0.840673	104.233505	0.088994
0.133000	27.873682	-0.649938	105.022807	0.086886
0.134000	27.644800	-0.840673	104.075046	0.088249
0.135000	27.759241	-0.764379	104.551390	0.088388
0.136000	27.797388	-0.611791	104.230875	0.089020
0.137000	27.721094	-0.649938	104.704587	0.088017
0.138000	27.644800	-0.459203	104.231865	0.088700
0.139000	27.606653	-0.573644	103.599353	0.088476
0.140000	27.759241	-0.649938	103.278185	0.091093
0.141000	27.606653	-0.421056	104.389649	0.087960
0.142000	27.568506	-0.649938	103.597711	0.090103
0.143000	27.568506	-0.497350	105.337096	0.087932
0.144000	27.606653	-0.497350	103.916269	0.088607
0.145000	27.568506	-0.268468	104.389332	0.088788
0.146000	27.454065	-0.649938	104.861068	0.088984
0.147000	27.644800	-0.344762	104.391628	0.087965
0.148000	27.530359	-0.611791	104.077004	0.087100
0.149000	27.530359	-0.535497	104.230536	0.087123
0.150000	27.682947	-0.573644	103.595416	0.089217
0.151000	27.530359	-0.382909	103.117407	0.088650
0.152000	27.568506	-0.497350	103.914942	0.088201
0.153000	27.339624	-0.649938	104.551077	0.088190
0.154000	27.415918	-0.497350	103.913620	0.087039
0.155000	27.644800	-0.459203	103.596068	0.088832
0.156000	27.415918	-0.878820	103.119724	0.088751
0.157000	27.606653	-0.649938	104.233168	0.088322
0.158000	27.454065	-0.840673	103.431379	0.090430
0.159000	27.492212	-0.688085	103.914294	0.089044
0.160000	27.644800	-0.878820	104.230876	0.088692
0.161000	27.530359	-0.840673	103.752553	0.089740
0.162000	27.606653	-0.955114	103.275550	0.089104
0.163000	27.606653	-0.764379	104.549750	0.088045
0.164000	27.682947	-0.802526	103.281467	0.090347
0.165000	27.644800	-0.802526	104.704587	0.088054
0.166000	27.873682	-0.802526	102.007923	0.090532
0.167000	27.873682	-0.764379	102.963898	0.088084
0.168000	27.835535	-1.031408	103.592449	0.089108
0.169000	27.911829	-1.107702	105.025757	0.086494
0.170000	27.911829	-0.802526	103.595079	0.087884
0.171000	27.873682	-0.993261	102.802808	0.088805
0.172000	27.988123	-0.955114	103.908713	0.089974
0.173000	27.759241	-0.955114	103.436960	0.089932
0.174000	27.949976	-1.031408	103.917579	0.088454
0.175000	27.949976	-1.145849	102.806091	0.089620
0.176000	27.873682	-0.878820	103.912333	0.088856
0.177000	28.140711	-1.031408	103.440914	0.088985
0.178000	28.102564	-1.031408	102.333701	0.089400
0.179000	27.873682	-1.145849	103.910017	0.088419
0.180000	27.873682	-1.222143	104.705242	0.087553
0.181000	27.949976	-1.107702	103.595078	0.089085
0.182000	28.102564	-0.840673	102.327114	0.089730
