BioWare Version 5.4.8.0 Export
Device:	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)	SB3 LHand 9281CA (SN>616901)
Samples (#):	15000	15000	15000	15000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	8744	8744	8744	8744
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	8.744000	8.744000	8.744000	8.744000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.551102	0.551102	0.551102	0.551102
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	Ax
	N	N	N	m
0.000000	39.832159	3.371568	154.684829	0.088265
0.001000	40.022894	3.524156	154.839333	0.088007
0.002000	39.908453	3.676744	154.211436	0.087843
0.003000	39.603277	3.714891	155.164124	0.087646
0.004000	39.336248	4.020067	153.734094	0.088187
0.005000	39.603277	3.676744	154.838343	0.088150
0.006000	39.832159	3.791185	154.052974	0.088377
0.007000	39.832159	3.562303	154.842950	0.088855
0.008000	39.946600	3.562303	153.732461	0.088815
0.009000	40.022894	3.905626	153.897482	0.088250
0.010000	39.832159	3.829332	154.850511	0.086917
0.011000	39.908453	4.096361	154.843611	0.087481
0.012000	40.175482	3.791185	154.368907	0.087804
0.013000	40.404364	4.172655	154.685150	0.087829
0.014000	40.137335	4.096361	153.578265	0.087603
0.015000	40.137335	4.020067	153.257099	0.088625
0.016000	40.137335	3.867479	153.582879	0.088382
0.017000	40.251776	4.096361	152.310956	0.087234
0.018000	40.137335	4.248949	153.424419	0.088349
0.019000	40.480658	4.134508	152.622293	0.089180
0.020000	40.595098	4.134508	151.993400	0.088953
0.021000	40.480658	4.477831	153.581552	0.088025
0.022000	40.442511	4.287096	152.786328	0.087834
0.023000	40.633245	4.020067	153.261683	0.087358
0.024000	40.633245	4.210802	152.314918	0.088722
0.025000	40.595098	4.172655	150.728070	0.088886
0.026000	40.480658	4.210802	151.998329	0.088136
0.027000	40.366217	4.477831	152.316245	0.089063
0.028000	40.518805	4.325243	151.683051	0.087490
0.029000	40.671392	4.248949	152.948728	0.087232
0.030000	40.862127	4.134508	150.887180	0.089114
0.031000	40.823980	4.096361	151.837577	0.088547
0.032000	40.747686	4.554125	149.461097	0.089622
0.033000	40.633245	4.248949	151.521985	0.088239
0.034000	40.251776	4.248949	152.153823	0.087451
0.035000	40.404364	4.592272	150.888484	0.088436
0.036000	40.633245	4.477831	150.885855	0.087545
0.037000	40.480658	4.477831	151.525917	0.087997
0.038000	40.671392	4.401537	151.364177	0.087916
0.039000	40.442511	4.439684	149.936784	0.088721
0.040000	40.671392	4.325243	151.992734	0.087296
0.041000	40.671392	4.515978	151.995051	0.087266
0.042000	40.480658	4.401537	151.524930	0.087177
0.043000	40.862127	4.554125	150.888484	0.087452
0.044000	40.709539	4.363390	149.938433	0.088064
0.045000	40.747686	4.554125	150.256969	0.087586
0.046000	40.671392	4.363390	150.094576	0.087867
0.047000	40.595098	4.592272	149.935145	0.087840
0.048000	40.556952	4.630419	150.256316	0.088205
0.049000	40.747686	4.783007	150.728384	0.087462
0.050000	40.862127	4.630419	149.618545	0.087692
0.051000	40.404364	4.592272	149.459772	0.088353
0.052000	40.442511	4.554125	150.254018	0.088249
0.053000	40.328070	4.210802	148.512004	0.088945
0.054000	40.251776	4.287096	149.941377	0.087370
0.055000	40.022894	4.325243	149.463706	0.087340
0.056000	40.442511	4.439684	149.308213	0.087132
0.057000	40.289923	4.248949	148.355192	0.088346
0.058000	40.518805	4.172655	149.935442	0.086784
0.059000	40.518805	4.210802	149.303941	0.088257
0.060000	40.633245	4.096361	148.836144	0.088314
0.061000	40.518805	4.210802	150.411152	0.087166
0.062000	40.404364	4.096361	148.354535	0.087740
0.063000	40.671392	4.172655	148.673745	0.088565
0.064000	40.747686	4.134508	149.306894	0.086772
0.065000	40.633245	3.905626	149.143192	0.087062
0.066000	40.785833	3.676744	148.511353	0.088221
0.067000	40.785833	4.058214	147.400520	0.087659
0.068000	40.785833	3.753038	148.831539	0.087178
0.069000	40.976568	4.134508	147.720051	0.087396
0.070000	40.785833	3.905626	147.886722	0.086883
0.071000	40.900274	4.058214	146.616478	0.088760
0.072000	40.633245	3.981920	148.988671	0.087010
0.073000	40.709539	3.905626	148.030401	0.088443
0.074000	40.747686	4.058214	147.557988	0.088574
0.075000	40.785833	3.867479	148.829561	0.086356
0.076000	40.938421	3.981920	148.514304	0.087602
0.077000	40.862127	4.020067	147.885074	0.086585
0.078000	41.014715	3.981920	147.403808	0.087565
0.079000	40.823980	4.058214	147.718742	0.087443
0.080000	40.862127	4.058214	146.766711	0.088884
0.081000	41.129156	4.020067	146.765714	0.088232
0.082000	40.862127	4.058214	147.084252	0.086705
0.083000	40.747686	4.134508	147.405448	0.087647
0.084000	40.900274	4.020067	147.882130	0.087711
0.085000	40.862127	4.172655	147.406099	0.087611
0.086000	40.900274	4.058214	146.926468	0.086628
